index_code,date,open,close,low,high,volume,money,change
sh000001,1997-03-10,1085.91,1099.68,1085.89,1100.51,8631868.0,9253000000.0,0.0203763500724
sh000001,1997-03-07,1083.01,1077.72,1070.86,1086.64,8140573.0,7993000000.0,-0.00130660810097
sh000001,1997-03-06,1045.89,1079.13,1044.23,1079.13,8700560.0,7970000000.0,0.0256427315497
sh000001,1997-03-05,1067.58,1052.15,1051.52,1072.46,7887031.0,7202000000.0,-0.0149883912522
sh000001,1997-03-04,1063.29,1068.16,1048.44,1070.22,9139791.0,8609000000.0,0.00480692347491
sh000001,1997-03-03,1044.61,1063.05,1043.93,1063.05,9005945.0,8615000000.0,0.0218981610543
sh000001,1997-02-28,1023.37,1040.27,1010.27,1040.33,6698066.0,6178000000.0,0.0146006047011
sh000001,1997-02-27,1035.32,1025.3,1020.34,1038.48,6600775.0,6274000000.0,-0.0060203003364
sh000001,1997-02-26,1019.86,1031.51,1015.39,1031.51,6167621.0,6044000000.0,0.0133109355967
sh000001,1997-02-25,1009.05,1017.96,1009.03,1028.33,7125747.0,6621000000.0,0.00832045643647
sh000001,1997-02-24,1028.35,1009.56,1004.62,1032.7,11122759.0,9347000000.0,-0.00744250980701
sh000001,1997-02-21,967.68,1017.13,967.49,1017.32,13808384.0,10980000000.0,0.0539333526754
sh000001,1997-02-20,870.18,965.08,870.18,971.51,9530846.0,8209000000.0,0.00248262680614
sh000001,1997-02-19,911.58,962.69,911.58,962.69,5407282.0,4977000000.0,0.0758115885344
sh000001,1997-02-18,980.48,894.85,893.75,999.22,7273848.0,6565000000.0,-0.089118485342
sh000001,1997-02-17,969.53,982.4,959.75,985.21,3616966.0,3323000000.0,0.0183054501731
sh000001,1997-01-31,960.26,964.74,960.08,967.9,4088016.0,3666000000.0,0.00475957382547
sh000001,1997-01-30,960.49,960.17,955.47,962.97,3523831.0,3034000000.0,-0.00200602847937
sh000001,1997-01-29,955.96,962.1,955.1,964.02,4130859.0,3653000000.0,0.0060545220692
sh000001,1997-01-28,957.88,956.31,947.91,957.88,3286744.0,2908000000.0,-0.00286739098701
sh000001,1997-01-27,957.25,959.06,952.4,959.87,4799149.0,4142000000.0,0.00538829251929
sh000001,1997-01-24,945.53,953.92,934.64,954.3,3737870.0,3273000000.0,0.00858532459294
sh000001,1997-01-23,945.59,945.8,940.5,947.54,3969012.0,3688000000.0,0.00356521370061
sh000001,1997-01-22,929.36,942.44,929.01,942.72,3342414.0,3132000000.0,0.0143470633187
sh000001,1997-01-21,937.04,929.11,926.09,939.02,3393618.0,2956000000.0,-0.00446811246357
sh000001,1997-01-20,922.47,933.28,922.06,933.36,2749331.0,2444000000.0,0.0146002065554
sh000001,1997-01-17,916.1,919.85,912.66,921.14,2236668.0,2167000000.0,0.00528955967694
sh000001,1997-01-16,917.48,915.01,908.26,922.1,1940147.0,1801000000.0,-0.00186534601623
sh000001,1997-01-15,905.47,916.72,905.06,919.42,1937957.0,1644000000.0,0.00977033650934
sh000001,1997-01-14,929.55,907.85,903.62,929.59,3043939.0,2603000000.0,-0.0233131078406
sh000001,1997-01-13,923.54,929.52,922.74,931.44,3881413.0,3182000000.0,0.0121080139373
sh000001,1997-01-10,908.56,918.4,906.55,918.51,3337217.0,2872000000.0,0.0126024014025
sh000001,1997-01-09,897.99,906.97,897.94,914.33,2526501.0,2159000000.0,0.0117803237358
sh000001,1997-01-08,899.83,896.41,887.23,902.53,2313690.0,1881000000.0,-0.00195953995346
sh000001,1997-01-07,872.8,898.17,871.78,903.0,2518248.0,1964000000.0,0.0247350226471
sh000001,1997-01-06,890.98,876.49,875.89,892.02,2416088.0,1894000000.0,-0.0257000255666
sh000001,1997-01-03,921.1,899.61,896.99,922.39,3429165.0,2823000000.0,-0.0215568341255
sh000001,1997-01-02,914.06,919.43,909.46,920.19,2653037.0,2370000000.0,0.00262807790452
sh000001,1996-12-31,935.91,917.02,912.97,935.97,4721433.0,4056000000.0,-0.0184005737468
sh000001,1996-12-30,929.72,934.21,923.95,938.55,5717505.0,4939000000.0,0.0128584593701
sh000001,1996-12-27,925.8,922.35,903.82,927.09,5509004.0,4327000000.0,-0.00203412570464
sh000001,1996-12-26,904.02,924.23,890.41,924.33,5522191.0,4257000000.0,0.0324515739851
sh000001,1996-12-25,870.44,895.18,855.85,897.45,4159185.0,3364000000.0,0.0341967235842
sh000001,1996-12-24,907.63,865.58,864.15,911.12,3665224.0,2987000000.0,-0.0403875788517
sh000001,1996-12-23,900.32,902.01,890.84,911.59,4437240.0,3695000000.0,0.0189440151823
sh000001,1996-12-20,881.09,885.24,864.26,898.92,6198930.0,5008000000.0,-0.0190376986326
sh000001,1996-12-19,971.15,902.42,893.47,983.24,8908300.0,8085000000.0,-0.0722811057539
sh000001,1996-12-18,872.35,972.73,869.02,975.96,10124334.0,8375000000.0,0.074151372601
sh000001,1996-12-17,907.65,905.58,903.85,943.37,6014684.0,5296000000.0,-0.0944381112378
sh000001,1996-12-16,1005.01,1000.02,999.63,1005.12,1433003.0,1378000000.0,-0.0991135454578
sh000001,1996-12-13,1164.34,1110.04,1108.29,1175.44,9742486.0,10117000000.0,-0.0570025655402
sh000001,1996-12-12,1248.14,1177.14,1167.98,1254.3,11204061.0,12529000000.0,-0.0544300747048
sh000001,1996-12-11,1225.39,1244.9,1220.41,1258.69,12680276.0,14535000000.0,0.0119081487503
sh000001,1996-12-10,1244.11,1230.25,1202.28,1244.11,12963367.0,13764000000.0,-0.0139541221166
sh000001,1996-12-09,1227.48,1247.66,1227.47,1250.56,15603201.0,16644000000.0,0.0286670679122
sh000001,1996-12-06,1207.3,1212.89,1194.77,1220.31,14430518.0,15068000000.0,0.000668272721273
sh000001,1996-12-05,1199.38,1212.08,1180.21,1215.25,19687108.0,19629000000.0,0.0360366520788
sh000001,1996-12-04,1117.03,1169.92,1115.27,1170.6,14828441.0,13254000000.0,0.04179022075
sh000001,1996-12-03,1157.13,1122.99,1118.83,1177.68,21485676.0,19855000000.0,-0.0101628882699
sh000001,1996-12-02,1056.68,1134.52,1056.68,1134.9,20411528.0,17497000000.0,0.0983300256547
sh000001,1996-11-29,997.85,1032.95,997.84,1037.16,13130487.0,10565000000.0,0.0406088813669
sh000001,1996-11-28,983.01,992.64,978.51,1002.54,7510755.0,6377000000.0,0.0125053550664
sh000001,1996-11-27,966.93,980.38,960.46,987.18,5476056.0,4939000000.0,0.0132184086235
sh000001,1996-11-26,981.47,967.59,957.81,985.13,6201207.0,5630000000.0,-0.00917515744202
sh000001,1996-11-25,948.59,976.55,938.81,976.55,6440178.0,5317000000.0,0.0259710242375
sh000001,1996-11-22,928.52,951.83,919.61,952.03,6362317.0,4930000000.0,0.0117563272638
sh000001,1996-11-21,1018.05,940.77,937.84,1025.58,8714657.0,7371000000.0,-0.0730599456115
sh000001,1996-11-20,1010.81,1014.92,992.27,1018.89,8541935.0,7382000000.0,-0.00102366234891
sh000001,1996-11-19,1019.62,1015.96,1008.23,1047.39,12890007.0,10836000000.0,0.0112173904388
sh000001,1996-11-18,952.73,1004.69,948.82,1004.95,8278962.0,7374000000.0,0.0566452467844
sh000001,1996-11-15,951.51,950.83,943.8,958.61,5509857.0,5077000000.0,-0.00247589672573
sh000001,1996-11-14,944.46,953.19,943.61,957.61,5539152.0,4671000000.0,0.0134712712117
sh000001,1996-11-13,945.98,940.52,932.93,951.09,4520260.0,3722000000.0,-0.00262990455991
sh000001,1996-11-12,937.7,943.0,928.98,949.25,4937158.0,3812000000.0,0.00966840476675
